,tempmax,PM2.5 AVG,condition_rainy,tempmin,temp,dew,humidity,windspeed,winddir,sealevelpressure,visibility,solarenergy,uvindex,sun_duration,cloudcover,search_hospital,vehicles_units_PoP,cpi_health_PoP,cpi_health_YoY,cpi_Food_Beverages_PoP,cpi_FaB_distributed,cpi_tobacco_intoxicants__distributed,vehicles_units
2022-01-02,26.0,57.0,0,14.45,20.5,13.25,66.2,26.65,62.2,1020.05,10.4,23.55,9.5,731.5916666666667,45.65,25,1.0189306272,0.0225161836,0.1872871736,0.2122498484,26.664,23.05,34616
2022-01-09,27.7,52.0,0,16.614285714285717,20.75714285714286,13.357142857142858,66.32857142857144,29.6,65.57142857142857,1020.2142857142856,10.714285714285714,24.914285714285715,9.714285714285714,731.4595238095237,67.35714285714286,32,1.0189306272,0.0225161836,0.1872871736,0.2122498484,26.664,23.05,27077
2022-01-16,28.1,69.0,2,15.028571428571428,20.47142857142857,12.357142857142858,63.92857142857143,33.98571428571429,56.471428571428575,1019.5714285714286,10.857142857142858,26.214285714285715,8.857142857142858,731.197619047619,55.71428571428572,0,1.0189306272,0.0225161836,0.1872871736,0.2122498484,26.664,23.05,17806
2022-01-23,27.0,75.0,5,15.642857142857142,19.857142857142858,13.9,71.52857142857142,30.27142857142857,92.58571428571427,1019.9428571428572,10.457142857142856,18.542857142857144,7.285714285714286,730.8523809523809,83.05714285714285,22,1.0189306272,0.0225161836,0.1872871736,0.2122498484,26.664,23.05,9090
2022-01-30,29.0,82.0,0,15.55714285714286,21.057142857142857,12.414285714285716,60.74285714285714,28.52857142857143,66.22857142857143,1018.8285714285714,10.37142857142857,25.014285714285712,8.571428571428571,730.447619047619,54.4,40,1.0189306272,0.0225161836,0.1872871736,0.2122498484,26.664,23.05,3214
2022-02-06,29.0,67.0,2,16.67142857142857,21.214285714285715,13.37142857142857,63.62857142857143,27.314285714285717,70.3,1018.8142857142856,10.3,17.97142857142857,7.571428571428571,729.9904761904762,76.24285714285715,79,-18.3222281825,0.0140567895,0.2244377245,0.2081458145,33.6075,28.8725,2197
2022-02-13,29.0,83.0,0,16.614285714285714,21.642857142857142,12.142857142857142,57.04285714285714,26.67142857142857,60.94285714285714,1018.8142857142856,10.385714285714286,24.442857142857143,8.857142857142858,729.4976190476191,61.67142857142857,28,-18.3222281825,0.0140567895,0.2244377245,0.2081458145,33.6075,28.8725,5441
2022-02-20,30.0,82.0,1,16.642857142857142,22.52857142857143,12.357142857142858,56.44285714285714,24.27142857142857,70.52857142857144,1017.8,10.357142857142858,24.61428571428572,8.857142857142858,728.9833333333333,68.77142857142857,43,-18.3222281825,0.0140567895,0.2244377245,0.2081458145,33.6075,28.8725,10859
2022-02-27,29.0,88.0,4,15.857142857142858,20.7,13.957142857142856,69.14285714285714,32.028571428571425,121.32857142857142,1019.6714285714286,10.142857142857142,21.957142857142856,8.0,728.4571428571428,75.67142857142858,18,-18.3222281825,0.0140567895,0.2244377245,0.2081458145,33.6075,28.8725,16349
2022-03-06,29.1,76.0,0,15.857142857142858,22.314285714285717,10.585714285714284,51.02857142857143,30.52857142857143,66.32857142857144,1018.8142857142856,10.242857142857144,26.385714285714283,9.857142857142858,727.9285714285714,44.94285714285714,0,2.95758925,0.044488152,0.26693754125,0.371940787,34.1075,28.96,19970
2022-03-13,30.1,86.0,0,16.728571428571428,22.857142857142858,11.385714285714286,52.871428571428574,28.142857142857142,63.471428571428575,1017.4285714285714,10.285714285714286,29.37142857142857,9.714285714285714,727.4119047619048,53.82857142857143,16,2.95758925,0.044488152,0.26693754125,0.371940787,34.1075,28.96,21377
2022-03-20,30.9,95.0,3,16.428571428571427,23.142857142857142,11.5,52.114285714285714,28.185714285714287,67.62857142857142,1017.3285714285714,12.614285714285714,28.82857142857143,10.0,726.9023809523809,54.75714285714286,0,2.95758925,0.044488152,0.26693754125,0.371940787,34.1075,28.96,21131
2022-03-27,30.0,57.0,2,17.771428571428572,22.728571428571428,12.857142857142858,57.6,33.371428571428574,77.89999999999999,1019.6,10.357142857142858,26.685714285714287,10.0,726.4,69.35714285714286,0,2.95758925,0.044488152,0.26693754125,0.371940787,34.1075,28.96,19801
2022-04-03,27.0,72.0,6,16.557142857142857,20.77142857142857,14.842857142857143,71.07142857142857,34.385714285714286,73.97142857142856,1019.3571428571428,10.285714285714286,23.985714285714288,9.857142857142858,725.9333333333333,71.5,33,0.9854283608,0.0392670158,0.2341168696,0.6054386866,35.14,29.005,17960
2022-04-10,28.1,62.0,2,17.0,21.942857142857143,12.771428571428572,59.05714285714286,31.142857142857142,74.54285714285713,1019.3285714285714,11.357142857142858,27.685714285714287,10.0,725.4761904761905,65.18571428571428,14,0.9854283608,0.0392670158,0.2341168696,0.6054386866,35.14,29.005,16136
2022-04-17,28.9,64.0,1,16.242857142857144,21.32857142857143,13.342857142857143,63.51428571428572,24.32857142857143,96.9,1017.2714285714284,13.285714285714286,22.571428571428573,10.0,725.047619047619,80.54285714285713,30,0.9854283608,0.0392670158,0.2341168696,0.6054386866,35.14,29.005,14786
2022-04-24,26.0,39.0,7,16.45714285714286,19.957142857142856,15.714285714285714,78.04285714285716,25.057142857142857,88.15714285714286,1018.8,10.571428571428571,19.571428571428573,9.428571428571429,724.65,84.72857142857143,35,0.9854283608,0.0392670158,0.2341168696,0.6054386866,35.14,29.005,14360
2022-05-01,26.1,58.0,2,16.942857142857143,20.185714285714287,15.55714285714286,76.41428571428571,24.52857142857143,105.78571428571428,1019.2857142857144,10.257142857142856,22.37142857142857,9.857142857142858,724.2809523809523,79.8,24,-3.457257106,0.0093309694,0.2035048049999999,0.264655663,28.484,23.22,15307
2022-05-08,26.1,59.0,2,16.17142857142857,19.685714285714287,15.328571428571427,77.47142857142858,23.142857142857142,134.42857142857142,1021.2285714285716,10.328571428571427,18.77142857142857,8.428571428571429,723.9452380952381,84.97142857142856,21,-3.457257106,0.0093309694,0.2035048049999999,0.264655663,28.484,23.22,17852
2022-05-15,27.0,64.0,2,16.52857142857143,20.785714285714285,13.985714285714286,67.51428571428572,23.185714285714287,87.62857142857142,1021.3857142857142,11.042857142857144,23.1,9.714285714285714,723.65,69.15714285714286,44,-3.457257106,0.0093309694,0.2035048049999999,0.264655663,28.484,23.22,21324
2022-05-22,26.9,63.0,1,15.914285714285716,20.1,13.44285714285714,67.51428571428572,22.457142857142856,94.14285714285714,1021.7571428571428,10.428571428571429,18.4,9.142857142857142,723.397619047619,81.44285714285715,43,-3.457257106,0.0093309694,0.2035048049999999,0.264655663,28.484,23.22,24825
2022-05-29,28.1,58.0,1,16.2,21.025,13.3,63.975,28.475,122.575,1021.525,10.25,21.9,9.25,723.2208333333333,78.425,0,-3.457257106,0.0093309694,0.2035048049999999,0.264655663,28.484,23.22,27458
2022-06-05,25.1,85.0,1,14.283333333333331,18.666666666666668,12.0,67.88333333333334,22.48333333333333,111.51666666666668,1021.5166666666668,10.35,18.266666666666666,8.833333333333334,723.0055555555555,71.33333333333333,63,20.8940354075,0.01632158175,0.218597217,0.30894537275,36.045,29.1175,28375
2022-06-12,24.0,64.0,4,14.885714285714286,18.67142857142857,12.742857142857144,70.14285714285714,19.12857142857143,132.6,1021.7,10.785714285714286,16.057142857142857,7.571428571428571,722.9,85.65714285714286,22,20.8940354075,0.01632158175,0.218597217,0.30894537275,36.045,29.1175,27515
2022-06-19,26.0,73.0,3,14.742857142857144,18.9,11.94285714285714,66.41428571428571,19.52857142857143,116.41428571428573,1021.1714285714286,12.014285714285716,20.185714285714287,8.714285714285714,722.8357142857143,77.61428571428571,30,20.8940354075,0.01632158175,0.218597217,0.30894537275,36.045,29.1175,25472
2022-06-26,24.1,79.0,2,14.285714285714286,17.985714285714288,11.271428571428572,66.54285714285714,19.185714285714287,150.24285714285716,1023.4571428571428,10.342857142857143,14.614285714285714,7.714285714285714,722.8214285714286,84.84285714285714,43,20.8940354075,0.01632158175,0.218597217,0.30894537275,36.045,29.1175,22861
2022-07-03,25.1,77.0,0,13.12857142857143,17.32857142857143,9.94285714285714,63.85714285714285,20.542857142857144,157.6,1024.0142857142855,10.5,19.557142857142857,8.285714285714286,722.8619047619048,77.5,60,-5.06049822,0.06,0.24,0.22,29.154,23.596,20295
2022-07-10,24.9,96.0,0,13.56,17.64,10.78,66.14,18.12,149.16,1023.48,10.26,12.68,6.6,722.9366666666667,81.76,100,-5.06049822,0.06,0.24,0.22,29.154,23.596,18192
2022-07-17,24.1,113.0,1,13.8,17.52,10.72,66.86,21.96,132.52,1023.54,10.5,16.9,8.4,723.1233333333333,84.04,0,-5.06049822,0.06,0.24,0.22,29.154,23.596,16625
2022-07-24,24.9,80.0,1,13.271428571428572,17.085714285714285,10.828571428571427,68.37142857142858,19.12857142857143,128.35714285714286,1022.9571428571428,10.342857142857143,13.3,6.571428571428571,723.2880952380953,84.5,40,-5.06049822,0.06,0.24,0.22,29.154,23.596,15636
2022-07-31,24.0,74.0,1,14.171428571428573,18.085714285714285,12.171428571428573,70.3,24.214285714285715,118.5,1021.6,10.271428571428572,13.542857142857144,7.571428571428571,723.5285714285714,88.55714285714285,25,-5.06049822,0.06,0.24,0.22,29.154,23.596,15263
2022-08-07,19.1,92.0,2,14.366666666666667,16.133333333333336,12.633333333333333,80.13333333333334,15.366666666666667,118.93333333333334,1022.8666666666668,10.1,9.066666666666668,4.666666666666667,723.7166666666667,90.26666666666668,0,-6.8211052875,0.075,0.375,0.125,36.6225,29.7025,15528
2022-08-14,19.1,92.0,2,14.36,,12.63,80.13,15.36,118.93,1022.86,10.1,9.066,4.66,723.71,90.266,48,-6.8211052875,0.075,0.375,0.125,36.6225,29.7025,16336
2022-08-21,28.1,70.0,0,11.175,19.45,8.55,53.575,28.725,115.85,1021.65,10.6,23.4,10.0,724.5416666666667,49.15,40,-6.8211052875,0.075,0.375,0.125,36.6225,29.7025,17550
2022-08-28,24.0,77.0,2,13.7,17.285714285714285,10.571428571428571,66.11428571428571,20.814285714285717,119.47142857142858,1022.3142857142856,10.228571428571428,15.071428571428571,7.571428571428571,724.85,85.92857142857143,28,-6.8211052875,0.075,0.375,0.125,36.6225,29.7025,19030
2022-09-04,26.1,121.0,0,13.414285714285716,18.27142857142857,11.242857142857144,65.75714285714285,20.685714285714287,109.57142857142856,1021.9571428571428,10.171428571428573,16.914285714285715,8.571428571428571,725.2595238095238,81.67142857142858,29,7.6639585925,0.025,0.4,0.075,36.7325,29.8225,20635
2022-09-11,25.9,88.0,1,14.16,17.34,12.64,75.47999999999999,17.94,78.52000000000001,1022.56,10.12,12.16,7.6,725.6266666666667,88.14,22,7.6639585925,0.025,0.4,0.075,36.7325,29.8225,22155
2022-09-18,26.0,71.0,0,14.44285714285714,18.685714285714287,11.414285714285716,64.54285714285713,24.11428571428572,114.61428571428571,1022.0857142857144,10.285714285714286,16.785714285714285,8.428571428571429,726.145238095238,84.22857142857143,0,7.6639585925,0.025,0.4,0.075,36.7325,29.8225,23294
2022-09-25,27.1,63.0,0,14.971428571428572,20.042857142857144,10.87142857142857,58.642857142857146,47.68571428571429,103.07142857142856,1021.3571428571428,10.257142857142856,27.0,10.0,726.6285714285714,72.87142857142858,0,7.6639585925,0.025,0.4,0.075,36.7325,29.8225,23749
2022-10-02,28.0,84.0,0,13.8,19.97142857142857,10.94285714285714,59.55714285714286,29.485714285714288,106.78571428571428,1021.4,10.385714285714286,23.685714285714287,10.0,727.1190476190476,70.2,24,3.434961388,0.02,0.32,0.2799999999999999,29.798,24.358,23220
2022-10-09,27.0,75.0,0,14.414285714285716,19.285714285714285,11.214285714285714,62.15714285714286,28.585714285714285,114.51428571428572,1021.4428571428572,10.2,21.74285714285714,10.0,727.6285714285714,74.77142857142857,0,3.434961388,0.02,0.32,0.2799999999999999,29.798,24.358,21637
2022-10-16,27.1,66.0,1,13.585714285714287,19.814285714285717,9.2,53.3,30.22857142857143,85.01428571428572,1021.657142857143,10.242857142857144,23.842857142857145,10.0,728.1428571428571,59.35714285714285,11,3.434961388,0.02,0.32,0.2799999999999999,29.798,24.358,19541
2022-10-23,28.0,65.0,2,15.585714285714284,20.542857142857144,10.857142857142858,57.271428571428565,30.67142857142857,88.11428571428571,1022.3285714285714,10.44285714285714,24.685714285714287,9.857142857142858,728.6595238095239,72.82857142857144,40,3.434961388,0.02,0.32,0.2799999999999999,29.798,24.358,17569
2022-10-30,28.9,46.0,0,16.87142857142857,21.87142857142857,11.071428571428571,54.02857142857143,28.77142857142857,84.47142857142856,1021.0,10.242857142857144,25.585714285714285,10.0,729.1809523809524,64.74285714285715,33,3.434961388,0.02,0.32,0.2799999999999999,29.798,24.358,16360
2022-11-06,26.1,44.0,3,15.914285714285716,19.342857142857145,13.3,70.61428571428571,24.82857142857143,70.9,1019.8142857142856,12.928571428571429,18.414285714285715,8.571428571428571,729.6761904761905,82.87142857142858,15,-7.6197201175,0.05,0.425,0.15,37.4725,30.7525,16476
2022-11-13,27.0,49.0,1,16.928571428571427,20.357142857142858,13.185714285714283,65.98571428571428,30.842857142857135,71.8,1021.6857142857144,10.3,22.085714285714285,9.428571428571429,730.1523809523809,78.51428571428572,33,-7.6197201175,0.05,0.425,0.15,37.4725,30.7525,17721
2022-11-20,25.0,47.0,1,15.357142857142858,18.714285714285715,14.385714285714286,77.77142857142857,25.485714285714288,65.62857142857143,1021.1428571428572,10.157142857142857,16.514285714285712,8.285714285714286,730.5904761904761,86.60000000000001,13,-7.6197201175,0.05,0.425,0.15,37.4725,30.7525,19470
2022-11-27,26.7,44.0,3,15.985714285714286,19.1,13.77142857142857,73.12857142857143,29.0,65.71428571428571,1020.6428571428572,10.228571428571428,20.814285714285717,9.571428571428571,730.9761904761905,77.95714285714287,16,-7.6197201175,0.05,0.425,0.15,37.4725,30.7525,21095
2022-12-04,25.1,54.0,1,16.02857142857143,19.285714285714285,13.714285714285714,72.64285714285714,36.971428571428575,68.51428571428572,1019.2714285714284,10.357142857142858,23.285714285714285,10.0,731.2880952380953,73.61428571428571,33,6.747922438000001,0.02,0.3399999999999999,0.06,37.5825,30.7825,21977
2022-12-11,26.1,46.0,2,16.62857142857143,19.942857142857143,13.842857142857142,70.04285714285714,27.542857142857144,66.7,1020.8,10.328571428571427,21.085714285714285,9.571428571428571,731.5333333333334,79.48571428571428,18,6.747922438000001,0.02,0.3399999999999999,0.06,37.5825,30.7825,21877
2022-12-18,26.1,56.0,0,16.214285714285715,19.785714285714285,13.471428571428572,69.45714285714286,29.3,64.18571428571428,1019.9571428571428,10.185714285714283,25.67142857142857,10.0,731.6738095238095,76.10000000000001,13,6.747922438000001,0.02,0.3399999999999999,0.06,37.5825,30.7825,21011
2022-12-25,27.0,75.0,0,16.2,20.814285714285717,12.9,62.971428571428575,29.457142857142856,60.8,1019.5714285714286,10.242857142857144,19.77142857142857,9.428571428571429,731.7166666666666,71.44285714285715,0,6.747922438000001,0.02,0.3399999999999999,0.06,37.5825,30.7825,19623
2023-01-01,27.1,56.0,1,15.614285714285714,19.714285714285715,12.085714285714284,63.957142857142856,32.51428571428571,65.48571428571428,1022.5142857142856,10.357142857142858,24.12857142857143,9.857142857142858,731.6547619047618,69.78571428571429,0,-3.469575624,0.1,0.42,0.04,30.128,24.872,17957
2023-01-08,27.0,63.0,0,14.8,19.285714285714285,11.728571428571428,64.5,33.15714285714286,65.88571428571429,1021.9,10.214285714285714,24.27142857142857,9.571428571428571,731.5,57.31428571428571,34,-3.469575624,0.1,0.42,0.04,30.128,24.872,16255
2023-01-15,27.0,69.0,0,15.342857142857143,20.685714285714287,11.157142857142857,57.48571428571428,32.357142857142854,62.82857142857143,1021.0285714285714,10.342857142857143,26.6,10.0,731.2523809523809,54.57142857142857,13,-3.469575624,0.1,0.42,0.04,30.128,24.872,14762
2023-01-22,29.0,81.0,0,14.4,21.185714285714287,9.085714285714284,49.68571428571429,32.857142857142854,61.81428571428571,1019.9571428571428,10.285714285714286,26.2,9.857142857142858,730.9190476190477,41.871428571428574,30,-3.469575624,0.1,0.42,0.04,30.128,24.872,13722
2023-01-29,29.0,73.0,0,14.885714285714286,21.142857142857142,9.228571428571428,50.12857142857143,32.142857142857146,66.34285714285714,1019.2571428571428,10.457142857142856,26.27142857142857,9.714285714285714,730.5214285714285,47.01428571428572,23,-3.469575624,0.1,0.42,0.04,30.128,24.872,13378
